Time;Event;EnemyName;Energy;Distance;Bearing;Heading
1;ScannedRobot;sample.Crazy;100,00;169,72;32,17
8;ScannedRobot;sample.Crazy;100,00;153,53;21,43
16;ScannedRobot;sample.Crazy;100,00;173,84;0,31
24;ScannedRobot;sample.Crazy;100,00;207,79;-15,81
32;ScannedRobot;sample.Crazy;100,00;225,64;-31,90
40;ScannedRobot;sample.Crazy;100,00;226,01;-47,98
48;ScannedRobot;sample.Crazy;100,00;208,88;-64,07
56;ScannedRobot;sample.Crazy;100,00;175,55;-80,19
64;ScannedRobot;sample.Crazy;100,00;133,72;-98,26
72;ScannedRobot;sample.Crazy;100,00;138,31;-125,05
80;ScannedRobot;sample.Crazy;100,00;190,79;-137,48
88;ScannedRobot;sample.Crazy;100,00;253,87;-136,52
89;ScannedRobot;sample.Crazy;100,00;261,36;-135,89
97;ScannedRobot;sample.Crazy;100,00;313,40;-128,72
105;ScannedRobot;sample.Crazy;89,42;346,59;-119,36
113;ScannedRobot;sample.Crazy;89,42;356,87;-109,19
121;ScannedRobot;sample.Crazy;89,42;343,11;-99,08
129;ScannedRobot;sample.Crazy;89,42;307,05;-89,90
137;ScannedRobot;sample.Crazy;89,42;286,89;-78,32
145;ScannedRobot;sample.Crazy;89,42;313,49;-67,35
153;ScannedRobot;sample.Crazy;89,42;370,57;-62,80
160;ScannedRobot;sample.Crazy;89,42;425,69;-63,68
161;ScannedRobot;sample.Crazy;89,42;433,12;-64,08
168;ScannedRobot;sample.Crazy;89,42;478,30;-68,13
176;ScannedRobot;sample.Crazy;89,42;512,64;-74,33
184;ScannedRobot;sample.Crazy;86,42;489,61;-74,36
185;ScannedRobot;sample.Crazy;86,42;481,69;-74,48
192;ScannedRobot;sample.Crazy;86,42;431,56;-77,47
200;ScannedRobot;sample.Crazy;86,42;400,53;-85,06
208;ScannedRobot;sample.Crazy;86,42;412,44;-93,81
216;ScannedRobot;sample.Crazy;83,42;388,14;-92,59
217;ScannedRobot;sample.Crazy;83,42;380,17;-92,48
224;ScannedRobot;sample.Crazy;82,42;325,83;-94,28
225;ScannedRobot;sample.Crazy;82,42;318,82;-94,97
232;ScannedRobot;sample.Crazy;82,42;279,05;-102,50
248;ScannedRobot;sample.Crazy;84,42;159,42;-108,75
249;ScannedRobot;sample.Crazy;84,42;151,70;-107,97
265;ScannedRobot;sample.Crazy;74,37;123,73;-52,39
