Time;Event;EnemyName;Energy;Distance;Bearing;Heading
1;ScannedRobot;sample.Fire;100,00;421,90;2,01
8;ScannedRobot;sample.Fire;100,00;421,90;2,01
9;ScannedRobot;sample.Fire;100,00;421,90;2,01
16;ScannedRobot;sample.Fire;100,00;421,90;2,01
17;ScannedRobot;sample.Fire;100,00;421,90;2,01
24;ScannedRobot;sample.Fire;100,00;421,90;2,01
25;ScannedRobot;sample.Fire;100,00;421,90;2,01
32;ScannedRobot;sample.Fire;100,00;421,90;2,01
33;ScannedRobot;sample.Fire;100,00;421,90;2,01
40;ScannedRobot;sample.Fire;100,00;421,90;2,01
41;ScannedRobot;sample.Fire;100,00;421,90;2,01
48;ScannedRobot;sample.Fire;100,00;421,90;2,01
49;ScannedRobot;sample.Fire;100,00;421,90;2,01
56;ScannedRobot;sample.Fire;95,21;421,90;2,01
57;ScannedRobot;sample.Fire;95,21;421,90;2,01
64;ScannedRobot;sample.Fire;95,21;421,90;2,01
65;ScannedRobot;sample.Fire;95,21;421,90;2,01
72;ScannedRobot;sample.Fire;91,42;421,90;2,01
73;ScannedRobot;sample.Fire;91,42;421,90;2,14
81;ScannedRobot;sample.Fire;94,42;433,94;7,58
88;ScannedRobot;sample.Fire;94,42;434,73;8,56
89;ScannedRobot;sample.Fire;94,42;434,73;8,56
96;ScannedRobot;sample.Fire;94,42;434,73;8,56
97;ScannedRobot;sample.Fire;94,42;434,73;8,56
104;ScannedRobot;sample.Fire;94,42;434,73;8,56
105;ScannedRobot;sample.Fire;94,42;434,73;8,56
112;ScannedRobot;sample.Fire;94,42;434,73;8,56
113;ScannedRobot;sample.Fire;94,42;434,73;8,56
120;ScannedRobot;sample.Fire;94,42;434,73;8,56
121;ScannedRobot;sample.Fire;90,73;434,73;8,56
128;ScannedRobot;sample.Fire;90,73;435,24;5,80
136;ScannedRobot;sample.Fire;90,73;437,60;2,00
144;ScannedRobot;sample.Fire;89,73;437,60;2,00
145;ScannedRobot;sample.Fire;89,73;437,60;2,00
152;ScannedRobot;sample.Fire;89,73;437,60;2,00
153;ScannedRobot;sample.Fire;88,73;437,60;2,00
160;ScannedRobot;sample.Fire;88,73;437,60;2,00
161;ScannedRobot;sample.Fire;88,73;437,60;2,00
168;ScannedRobot;sample.Fire;90,73;447,59;1,96
169;ScannedRobot;sample.Fire;87,08;447,59;1,96
